날짜,채널,세션,이탈률(%),주문,매출,신규비율(%)
2026-07-22,유료검색,960,65.0,25,975000,52.7
2026-07-22,메타광고,1767,66.0,35,2380000,60.4
2026-07-22,인스타,599,63.6,10,520000,29.1
2026-07-22,뉴스레터,1311,64.9,23,1196000,29.9
2026-07-22,직접유입,194,46.9,1,91000,49.2
2026-07-23,자연검색,231,44.4,4,208000,78.5
2026-07-23,유료검색,402,46.3,6,234000,68.4
2026-07-23,메타광고,234,44.6,5,340000,38.2
2026-07-23,인스타,1455,52.6,28,1092000,68.5
2026-07-23,뉴스레터,2025,50.1,38,1976000,37.3
2026-07-23,직접유입,2048,70.0,16,1088000,48.3
2026-07-24,자연검색,971,43.3,16,1088000,76.7
2026-07-24,유료검색,2113,60.6,48,1872000,59.6
2026-07-24,메타광고,2398,45.8,62,3224000,56.6
2026-07-24,인스타,593,40.9,15,1020000,68.2
2026-07-24,뉴스레터,917,57.9,8,728000,47.3
2026-07-24,직접유입,604,45.6,9,612000,51.2
2026-07-25,자연검색,1871,56.1,22,858000,60.0
2026-07-25,유료검색,576,54.4,6,546000,79.4
2026-07-25,메타광고,143,73.8,2,136000,64.4
2026-07-25,인스타,633,60.1,10,390000,55.0
2026-07-25,뉴스레터,874,43.2,21,1911000,73.1
2026-07-25,직접유입,2238,71.4,21,1428000,75.2
2026-07-26,자연검색,549,46.9,12,624000,28.7
2026-07-26,유료검색,459,63.3,12,468000,69.4
2026-07-26,메타광고,243,51.1,2,78000,77.1
2026-07-26,인스타,348,68.1,2,136000,78.1
2026-07-26,뉴스레터,1952,39.1,26,2366000,46.9
2026-07-26,직접유입,2278,46.4,47,1833000,39.4
2026-07-27,자연검색,1089,67.0,21,1428000,35.3
2026-07-27,유료검색,838,73.1,8,312000,78.7
2026-07-27,메타광고,2398,65.8,51,4641000,69.9
2026-07-27,인스타,1864,63.4,19,1729000,49.0
2026-07-27,뉴스레터,770,66.6,11,1001000,36.3
2026-07-27,직접유입,1182,38.4,25,1300000,74.5
2026-07-28,자연검색,2241,63.1,36,1872000,28.5
2026-07-28,유료검색,910,50.5,7,273000,40.8
2026-07-28,메타광고,373,73.6,5,260000,37.6
2026-07-28,인스타,2003,63.1,11,429000,39.0
2026-07-28,뉴스레터,1494,69.3,24,1632000,44.3
2026-07-28,직접유입,2271,71.7,60,4080000,57.1
2026-07-29,자연검색,670,52.3,8,544000,47.6
2026-07-29,유료검색,1951,64.6,18,1638000,28.4
2026-07-29,메타광고,157,60.2,4,156000,43.1
2026-07-29,인스타,2269,45.3,63,3276000,37.8
2026-07-29,뉴스레터,1779,53.7,40,2080000,43.1
2026-07-29,직접유입,1698,41.1,40,3640000,72.2
